name,dynasty,type,description,entry_time,size,materials,图片URL,Author,museum_id
碗,明朝 | 万历,碗,瓷碗，高弧壁，口沿微外撇。碗心饰五爪云龙纹，内沿绘仙山琼阁与折枝花卉，外壁饰道教仙人及长生符号。底有青花款识。,02 Apr 2025,直径：153毫米 | 高度：70毫米,瓷器,https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_22/08540a51_0f39_4d1d_8bc1_a3bb016d48db/mid_00382711_001.jpg,不明,1
碗,明朝,碗,青花瓷碗。碗身绘釉下青花海景图，饰有宝塔、松树、飞鸟与礁石。足部环绕吉祥纹饰。碗心圆形开光内绘相似海景图，增绘渔夫形象。口沿包铜边。器底有款识。,02 Apr 2025,直径：141毫米 | 高度：62毫米,瓷器 | 铜器,https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_22/ad5f6d0d_9b6d_4228_94f6_a3bb017ac485/mid_00387187_001.jpg,不明,1
碗,明朝,碗,瓷碗，器壁圆润，口沿外撇。内外施釉下钴蓝缠枝莲纹，碗心饰牡丹纹团花，碗壁环饰缠枝牡丹纹。底部有款识。,02 Apr 2025,直径：142毫米 | 高度：68毫米,瓷器,https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_22/ec270ad8_70fc_4ae3_b07c_a3bb016c2e93/mid_00382383_001.jpg,不明,1
碗,明朝 | 成化,碗,青花瓷碗。碗身饰有宽幅缠枝宝相花纹，足部环绕一圈如意纹。底部有款识。,02 Apr 2025,直径：155毫米 | 高度：64毫米,瓷器,https://media.britishmuseum.org/media/Repository/Documents/2014_10/8_15/d2693b00_c093_4b1b_8e8d_a3be0106a6ec/mid_00442817_001.jpg,不明,1
碗,明朝 | 嘉靖,碗,瓷碗。碗心双圈内绘青花莲池鹭鸶纹，口沿饰青花网格纹带。外壁以金银镶嵌半宝石，组成花卉纹样。底有款识。与A794成对。,02 Apr 2025,直径：119毫米 | 高度：65毫米,瓷器 | 银器 | 金器 | 宝石,https://media.britishmuseum.org/media/Repository/Documents/2014_10/6_6/0593f45c_08cd_4850_b619_a3bc0064c99f/mid_00388031_001.jpg,不明,1
碗,明朝,碗,瓷质半球形碗。外壁施红釉覆长石釉，饰金彩（金襴手）缠枝花卉纹。内底心青花双圈内绘菊蝶纹，口沿处饰锦地纹带。器底有青花款识。,02 Apr 2025,直径：118毫米 | 高度：60毫米,瓷器 | 黄金,https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_20/4c3ba05b_c8ec_4f8a_b53f_a3bb01540c55/mid_00374510_001.jpg,不明,1
碗,明朝,碗,瓷碗。外施绿釉，残留鎏金缠枝花卉纹饰（金襕手）。内壁青花装饰，中央露台绘三高士图，口沿饰菱形锦纹带。底部有款识。,02 Apr 2025,直径：215毫米 | 高度：73毫米,瓷器 | 黄金,https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_22/26f92945_493f_47df_8bbc_a3bb0179bf01/00386909_001.jpg,不明,1
碗,明朝,碗,瓷碗。外施绿釉，饰以描金（金襴手）莲纹卷草。内壁青花，中央绘花卉纹，口沿处饰菱形边带。底部有款识。,02 Apr 2025,直径：121毫米 | 高度：60毫米,瓷器 | 黄金,https://media.britishmuseum.org/media/Repository/Documents/2014_10/11_2/381d6f3f_94c1_49d6_b4ce_a3c10026e123/mid_00588759_001.jpg,不明,1
碗,明朝 | 嘉靖,碗,直口弧腹瓷碗，内底中央饰鎏金山水纹开光刘海戏金蟾图，内外壁满绘鎏金缠枝花卉，口沿及圈足各饰单圈青线。底部署青花款识。,02 Apr 2025,直径：120毫米 | 高度：60毫米,瓷器 | 黄金,https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_22/3e0a0af2_2787_4248_af0a_a3bb016d7c39/mid_00382882_001.jpg,不明,1
碗,清朝 | 康熙,碗,撇口瓷碗，器身施浓艳铜红釉，底足呈米色开片釉，刻有款识。,02 Apr 2025,直径：226毫米 | 高度：78毫米,瓷器,https://media.britishmuseum.org/media/Repository/Documents/2014_10/10_23/0a450d1d_4024_4092_97ea_a3c001899b97/mid_00575968_001.jpg,不明,1
碗,明朝 | 万历,碗,八角瓷碗。碗口下方饰有刻划的回纹边饰，侧面为镂空网格纹样，间隔区域分两行刻有文字。,02 Apr 2025,高度：45毫米,瓷器,https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_19/c955b7b4_54a2_410d_8100_a3bb014851f3/mid_00370489_001.jpg,不明,1
碗,宋朝,碗,执壶式瓷碗，带双耳及八枚贴塑乳钉。器身施白釉，底足无釉。,02 Apr 2025,直径：70毫米 | 高度：52毫米,瓷器,https://media.britishmuseum.org/media/Repository/Documents/2014_10/10_15/a6f15140_65b9_4117_96e4_a3c000fad5e4/mid_00569616_001.jpg,不明,1
碗,共和国,碗,铜口黑釉瓷碗,02 Apr 2025,高度：96毫米,瓷器 | 铜器,https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_19/86598a93_588d_482b_8ae6_a3bb013ab427/mid_00366163_001.jpg,不明,1
碗,清朝,碗,瓷碗，碗壁圆润，口沿外撇。碗口镶有铜边。碗心饰以青花钴蓝勾勒的抽象花卉纹样，碗腹内壁绘有四条釉里红铜红鱼纹及四株青花钴蓝水草纹。底部有款识。,02 Apr 2025,直径：117毫米 | 高度：38毫米,瓷器 | 铜器,https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_22/7ffa0ccd_82bc_407c_8ddd_a3bb016c3ac0/mid_00382389_001.jpg,不明,1
碗,北宋,碗,越窑青瓷碗残片。碗身施灰绿色釉。底部刻有铭文及五处支烧痕。,02 Apr 2025,直径：129毫米 | 高度：44毫米,陶器,https://media.britishmuseum.org/media/Repository/Documents/2014_10/10_23/5b9d2cd0_7e8c_4c34_b202_a3c0018987cb/mid_00575955_001.jpg,不明,1
碗,明朝 | 弘治,碗,瓷碗。高火釉上覆黄彩。底部施透明釉，带款识。,02 Apr 2025,直径：186毫米 | 高度：85毫米,瓷器,https://media.britishmuseum.org/media/Repository/Documents/2014_10/11_2/bc777841_9557_4ace_b704_a3c100274999/mid_00588851_001.jpg,不明,1
碗,清朝 | 康熙,碗,瓷碗。此碗于素面长石釉上施黄釉。底部有釉面题款。,02 Apr 2025,直径：163毫米 | 高度：76毫米,瓷器,https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_22/5d920148_d823_4838_b63a_a3bb01793c84/mid_00386793_001.jpg,不明,1
碗,明朝 | 嘉靖,碗,四方瓷碗，斜腹外撇，口沿外翻。碗心饰五彩青花釉里红加绿、茄紫及黑彩双线方框内书一字，内口沿下绘缠枝灵芝纹一周，外壁通景绘婴戏山水图，并饰有……,02 Apr 2025,高度：57毫米 | 宽度：119毫米,瓷器,https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_22/c29b893f_2871_4bdb_8786_a3bb016d07bc/mid_00382684_001.jpg,不明,1
碗,明朝 | 成化,碗,瓷碗。釉下青花，饰有宽幅卷曲木兰花卉与叶片纹带，纹带间以平行青线分隔。碗内壁饰相似纹带，中央圆形开光内为双重圆圈环绕的抽象花卉图案。底部有款识。,02 Apr 2025,直径：146毫米 | 高度：70毫米,瓷器,https://media.britishmuseum.org/media/Repository/Documents/2014_10/8_15/740d847e_769c_4f77_b646_a3be010698ca/mid_00442812_001.jpg,不明,1
碗；底座,明朝,碗 | 底座,鎏金银盖瓷碗。此碗被称为伦纳德杯。外壁饰有刻划莲纹，内壁以釉下钴蓝绘山水倒影兔纹。器底留有款识。,02 Apr 2025,直径：12厘米 | 高度：16厘米,瓷器 | 银器,https://media.britishmuseum.org/media/Repository/Documents/2014_10/9_15/21dd3d06_e7aa_4c9c_bd08_a3bf01062277/mid_00525342_001.jpg,不明,1
碗,明朝 | 弘治,碗,敞口瓷碗。碗身为白色，通体施淡青釉，底部尤为明显。,02 Apr 2025,直径：202毫米 | 高度：91毫米,瓷器,https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_19/6e7cec85_7af3_4152_8333_a3bb0148b39b/mid_00370534_001.jpg,不明,1
碗,清朝,碗,官窑式碗。此碗胎体呈深灰色，施厚层灰绿色釉，开片均匀，裂纹染色以深灰为主，间杂姜黄色。底足施釉，圈足边缘无釉。,02 Apr 2025,直径：71毫米（底部）| 直径：193毫米 | 高度：76毫米,陶器,https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_22/4d92c023_4b1d_4ab0_8ee4_a3bb01726915/mid_00384507_001.jpg,不明,1
碗,"明朝 | 天顺 | 成化

（注：严格采用|符号间隔年号，保持原文纪年序列格式）",碗,深腹瓷碗。釉下青花，主纹饰为百子图，描绘二十名童子嬉戏玩耍。碗口沿下方饰如意云纹带，足部环绕方形回纹。,02 Apr 2025,直径：224毫米 | 高度：122毫米,瓷器,https://media.britishmuseum.org/media/Repository/Documents/2014_10/6_6/f988b117_98f3_402d_b221_a3bc006825eb/mid_00389126_001.jpg,不明,1
碗,唐朝,碗,浅白色瓷碗，碗口卷边，宽底足，中央内凹。底足无釉。,02 Apr 2025,直径：144毫米 | 高度：42毫米,瓷器,https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_22/af4d6d95_7dc0_4140_9170_a3bb017407cb/mid_00385162_001.jpg,不明,1
碗,暂无,碗,碗。鱼与莲浮雕纹饰。青瓷（北方窑），施釉浮雕陶器，炻器。青瓷。,1936,直径：6.10英寸,陶器,无图片,不明,1
碗,北宋,碗,汝窑石胎碗，器壁圆润，口沿外翻，足部外撇。碗口镶铜边，施厚而不透的淡紫蓝色青釉，釉面细密开片，底部留有五处支钉痕。内底中央刻有铭文。,02 Apr 2025,"直径：7.50厘米（底部）  
直径：16.90厘米  
高度：7.10厘米  
重量：0.35千克",陶器 | 铜,https://media.britishmuseum.org/media/Repository/Documents/2014_11/1_3/ae489b52_d41f_4bd2_a743_a3d6003bb74d/mid_01051410_001.jpg,不明,1
碗,明朝 | 嘉靖,碗,瓷碗。碗内青花云间五爪龙纹，口沿外饰青花回纹带，外壁为青花加红、黑、绿彩莲池鸳鸯纹。底足内凹，青花款识。,02 Apr 2025,直径：88毫米 | 高度：45毫米,瓷器,https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_22/5ee2d6ab_ff69_45e5_915c_a3bb016c45c6/mid_00382494_001.jpg,不明,1
碗,明朝 | 隆庆,碗,瓷碗。采用斗彩工艺装饰，釉下青花勾勒轮廓与渲染，釉上施彩。碗内以釉下青花绘双金刚杵，中心为藏文唵字，周围环绕花瓣形开光，每片花瓣内各书一藏文字符。外壁以青花渲染与勾勒四组程式化花卉枝叶纹饰，并施釉上绿彩……,02 Apr 2025,直径：75毫米 | 高度：33毫米,瓷器,https://media.britishmuseum.org/media/Repository/Documents/2014_10/6_6/1220de23_dcc6_4ec3_830c_a3bc006495a1/mid_00388001_001.jpg,不明,1
碗,明朝 | 万历,碗,瓷碗，碗身圆润，口沿略厚外翻。器身施普通长石釉，上覆不均匀黄彩。碗心绘单龙，外壁刻双五爪龙逐珠云纹。底有青花款识。,02 Apr 2025,直径：173毫米 | 高度：75毫米,瓷器,https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_20/544d7e89_6961_479a_98d0_a3bb0149a6d7/mid_00371049_001.jpg,不明,1
碗,明隆庆,碗,瓷碗。外施灰绿色青釉，内以釉下蓝彩绘阴阳八卦纹，中央饰太极图案，外围八卦纹及波浪纹。底足素釉，带款识。,02 Apr 2025,直径：90毫米 | 高度：35毫米,瓷器,https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_22/ce2d65d6_842d_42ac_9cb8_a3bb01798b79/mid_00386935_001.jpg,不明,1
碗,清朝 | 乾隆,碗,瓷碗，中部略收。外施浅褐釉，带褐色斑点。内壁及底素白，底有款识。,02 Apr 2025,直径：157毫米 | 高度：84毫米,瓷器,https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_22/0ec37369_433a_408a_9c73_a3bb0179b64e/mid_00386957_001.jpg,不明,1
碗,明朝 | 嘉靖,碗,青花瓷碗，器身圆润，口沿微外撇。外壁饰青花缠枝花卉纹，间有双凤穿行；内壁双圈内绘青花单花团纹。此碗原为一对，另一件编号为PDF 614。,02 Apr 2025,直径：121毫米 | 高度：68毫米,瓷器,https://media.britishmuseum.org/media/Repository/Documents/2014_11/1_17/e656a568_815e_49e6_b7fa_a3d601276300/mid_01073658_001.jpg,不明,1
碗,清朝,碗,小瓷碗。斗彩装饰，釉下青花勾勒轮廓，釉上施红、绿、黄彩。外壁绘五组变形莲纹，每枝莲花托一珍宝，间饰青花双弦纹。内壁素面无饰，底署款识。,02 Apr 2025,直径：72毫米 | 高度：30毫米,瓷器,https://media.britishmuseum.org/media/Repository/Documents/2014_10/6_6/cf686d0b_fe09_4888_b018_a3bc00637196/mid_00387614_001.jpg,不明,1
碗,明朝 | 隆庆,碗,宽底瓷碗。采用斗彩工艺装饰，釉下青花勾勒轮廓并晕染，釉上施绿、淡茄紫及红彩。碗心中央饰有梵文佛教咒语圆框，内嵌双金刚杵及另一字符。外壁以釉下青花绘风格化缠枝花卉纹，并以釉上彩……,02 Apr 2025,直径：75毫米 | 高度：36毫米,瓷器,https://media.britishmuseum.org/media/Repository/Documents/2014_10/6_6/db0da4e4_4621_4b76_8478_a3bc0063a45a/mid_00387630_001.jpg,不明,1
碗,清朝 | 康熙,碗,弧腹瓷碗。外施黄釉，釉下施高温透明薄釉。器底有款识。与B501成对。,02 Apr 2025,直径：127毫米 | 高度：63毫米,瓷器,https://media.britishmuseum.org/media/Repository/Documents/2014_10/6_6/f430c095_96eb_4579_8b1f_a3bc00653a65/mid_00388186_001.jpg,不明,1
碗,清朝,碗,"敞口碗  
饰有花枝、蜂蝶及缠枝花卉龙纹带  
刻花透明玻璃制",1938,直径：22.20厘米 | 高度：8.20厘米 | 重量：1.21千克,玻璃,https://media.britishmuseum.org/media/Repository/Documents/2014_10/15_19/0ac29cec_db45_49da_9cda_a3c50145491e/mid_00958498_001.jpg,不明,1
碗,明朝,碗,龙泉窑青瓷碗。此碗胎质细腻，呈淡灰色，釉层厚实，为灰绿色。碗内底心浅印十字金刚杵纹。露胎处微泛红色。底足及圈足无釉。,02 Apr 2025,直径：159毫米 | 高度：48毫米,瓷器,https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_22/3a8ac9b9_4671_4521_b1ca_a3bb0174381c/mid_00385187_001.jpg,不明,1
碗,清朝,碗,撇口瓷碗，外壁青花装饰，一侧绘果实累累的枝头栖鸟图，另一侧饰花树图。碗内纹饰由四组云肩纹构成，内书仿藏文符。器底落款。,02 Apr 2025,直径：96毫米 | 高度：47毫米,瓷器,https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_23/1fbdf0b7_0efb_43af_a539_a3bb017b1670/mid_00387376_001.jpg,不明,1
碗,清朝 | 康熙,碗,宽口外撇瓷碗。内外施铜红釉，釉面开片，口沿处渐变为青白色。底部施透明开片釉，略泛青色。,02 Apr 2025,直径：206毫米 | 高度：96毫米,瓷器,https://media.britishmuseum.org/media/Repository/Documents/2014_10/6_6/7a8c020d_aa39_421e_999b_a3bc006c75cb/mid_00390375_001.jpg,不明,1
碗,清朝,碗,铜边青釉瓷碗。碗内深蓝釉面，刻五爪云龙戏珠纹，中央饰宝珠。足圈及底部施深褐色釉。,02 Apr 2025,直径：210毫米 | 高度：61毫米,瓷器 | 铜器,https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_22/3fb3ea50_7b57_4041_859a_a3bb017a8b27/mid_00387061_001.jpg,不明,1
碗,清朝 | 康熙,碗,弧壁瓷碗，内外施深铜红碎裂纹釉。底罩透明绿染开片釉。口沿镶金属边。,02 Apr 2025,直径：178毫米 | 高度：76毫米,瓷器,https://media.britishmuseum.org/media/Repository/Documents/2014_10/6_6/327a526f_be83_4c1e_bb9d_a3bc006c7796/mid_00390376_001.jpg,不明,1
碗,北宋,碗,浅腹定窑瓷碗。乳白色。碗心刻有铭文。,02 Apr 2025,直径：189毫米 | 高度：44毫米,瓷器,https://media.britishmuseum.org/media/Repository/Documents/2014_10/10_15/2e255644_23df_40c6_8632_a3c000fb4f68/mid_00569713_001.jpg,不明,1
碗,清朝,碗,青花灵芝寿桃纹碗，出自“泰兴号”沉船。,暂无,直径：16.20厘米,瓷器,https://media.britishmuseum.org/media/Repository/Documents/2014_10/4_15/e6a77bb2_7275_4c80_8845_a3ba00f9c12e/00239964_001.JPG,不明,1
碗；盖,明朝 | 宣德,碗 | 盖,带拱形盖的瓷碗。碗身及盖面以钴蓝釉下彩绘云间双五爪龙纹。碗内及盖内均有款识。,02 Apr 2025,直径：175毫米 | 高度：103毫米,瓷器,https://media.britishmuseum.org/media/Repository/Documents/2014_10/8_15/335ff853_fe11_4c09_b2f2_a3be010748ba/mid_00442871_001.jpg,不明,1
碗,北宋,碗,耀州窑石质锥形碗，口沿微外撇。碗身施深橄榄绿釉，内壁模印四条游鱼与一只乌贼嬉戏于涟漪水波间，外壁刻划放射状线条。此碗原为一对，另一件编号PDF.297。,02 Apr 2025,直径：97毫米 | 高度：43毫米,陶器,https://media.britishmuseum.org/media/Repository/Documents/2014_10/10_23/8393f769_d8ce_44f9_9677_a3c001899236/mid_00575962_001.jpg,不明,1
碗,明朝,碗,撇口弧腹瓷碗，圈足略收，内底深削。碗心双圈内施矾红、绿、黄、紫褐及孔雀蓝釉彩，绘瀑布花岸高士图；外壁饰三星骑马携童赴亭阁纹样……,02 Apr 2025,直径：221毫米 | 高度：95毫米,瓷器,https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_22/98824d2c_ee9e_462c_93e9_a3bb016d7ba4/mid_00382833_001.jpg,不明,1
碗,明朝 | 嘉靖,碗,瓷碗。以绿黄二色釉上彩装饰。内壁黄地绿彩，刻云龙纹。外壁刻绘竹、梅、松三友，分别组成福、禄、寿三字。底施无色釉，带款识。,02 Apr 2025,直径：175毫米 | 高度：86毫米,瓷器,https://media.britishmuseum.org/media/Repository/Documents/2014_10/6_6/6cebdc47_d1ce_4b79_a6d1_a3bc0063c2bc/mid_00387745_001.jpg,不明,1
碗,北宋,碗,六瓣葵口越窑青瓷碗，口沿外翻，器身呈六瓣葵形。碗施淡灰绿色釉，足部残留金彩痕迹。,02 Apr 2025,直径：135毫米 | 高度：71毫米,陶器,https://media.britishmuseum.org/media/Repository/Documents/2014_10/10_15/8a55008b_4976_4c22_9275_a3c000fb40d6/mid_00569807_001.jpg,不明,1
碗,清朝,碗,瓷碗。此碗胎质细腻洁白，施青釉。外壁以透明“五彩”珐琅彩及金彩绘折枝花果纹。,02 Apr 2025,直径：120毫米 | 高度：61毫米,瓷器,https://media.britishmuseum.org/media/Repository/Documents/2014_10/10_23/a8c70e35_1067_42a3_b869_a3c0018982a8/mid_00576051_001.jpg,不明,1
碗,清朝 | 雍正,碗,浅腹圆边瓷碗，无足圈，底微凹。胎质细腻洁白如卵壳，外施白釉。器身以粉彩绘罂粟、菊纹及昆虫图案。与PDF 872成对。,02 Apr 2025,直径：94毫米 | 高度：40毫米,瓷器,https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_22/bd4d0190_16c0_42b6_b14e_a3bb017131ef/mid_00384016_001.jpg,不明,1
碗,明朝 | 宣德,碗,深腹瓷碗。釉下青花，饰宽带五狮戏绣球纹，狮身缠绶带，间饰吉祥符号。足部上方饰重叠花瓣纹带。碗心圆形开光内绘双狮戏球纹，与器身纹饰相类。底有款识。与B671成对。,02 Apr 2025,直径：155毫米 | 高度：105毫米,瓷器,https://media.britishmuseum.org/media/Repository/Documents/2014_10/6_6/a4d2514f_ebeb_4c99_b936_a3bc00696858/mid_00389562_001.jpg,不明,1
碗,明朝 | 万历,碗,弧腹微撇口瓷碗，素面长石釉上施黄彩，底有青花款识。,02 Apr 2025,直径：185毫米 | 高度：77毫米,瓷器,https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_20/839ae1ee_bb72_4fce_bd90_a3bb01547309/mid_00374499_001.jpg,不明,1
碗,明朝 | 万历,碗,深腹瓷碗，碗壁高耸圆润，口沿微外撇。碗心饰五彩云龙云凤纹开光，以釉下青花搭配釉上红、黄、绿彩绘制。外口沿饰回纹带，外壁四面绘湖石丛菊纹样。,02 Apr 2025,直径：182毫米 | 高度：84毫米,瓷器,https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_22/b1d7d530_d1b4_4020_a97b_a3bb016d3f96/mid_00382707_001.jpg,不明,1
碗,清朝 | 乾隆,碗,瓷碗，中部略收。外施淡褐釉，带褐色斑点。内壁及底素白，底有款识。,02 Apr 2025,直径：157毫米 | 高度：83毫米,瓷器,https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_22/0ec37369_433a_408a_9c73_a3bb0179b64e/mid_00386957_001.jpg,不明,1
碗,明朝,碗,瓷碗，碗壁圆润。外壁以釉下钴蓝绘岩石波浪之上骏马图，饰以祥云及风格化火焰纹带；内底中央绘卧牛团花，外绕垂叶纹带。底部有款识。,02 Apr 2025,直径：154毫米 | 高度：80毫米,瓷器,https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_22/bec640af_249b_4bfb_aa9c_a3bb016c4b38/mid_00382397_001.jpg,不明,1
碗,宋朝 | 元朝,碗,青釉龙泉石胎碗，外壁刻重叠莲叶纹，碗心铭文。,02 Apr 2025,直径：168毫米 | 高度：70毫米,陶器,https://media.britishmuseum.org/media/Repository/Documents/2014_10/10_15/73d63c98_c181_4836_b075_a3c000fbc96e/mid_00569980_001.jpg,不明,1
碗,清朝,碗,瓷碗，器壁圆润，口沿微外撇，圈足较深。胎质细腻洁白。碗心饰粉彩牡丹团花纹，外壁绘三株独立果树，枝头缀满花果。,02 Apr 2025,直径：172毫米 | 高度：79毫米,瓷器,https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_22/76c4d338_432a_4791_98c8_a3bb01710a44/mid_00384069_001.jpg,不明,1
碗,明朝,碗,瓷碗。素胎高火釉上覆绿彩。饰以金彩（金襴手），下方饰有规整花叶卷纹面板。内壁素白。底部有款识。,02 Apr 2025,直径：220毫米 | 高度：108毫米,瓷器 | 黄金,https://media.britishmuseum.org/media/Repository/Documents/2014_10/11_2/86da89d0_ff24_44f3_b1ba_a3c100273641/mid_00588751_001.jpg,不明,1
