博物馆编号,标题,类型,描述,材料,尺寸,收录日期,链接,图片地址,制作时间
"1877,0714,0.1016-1039",album; painting,册页 | 绘画,册页。杂技图。纸本水墨。,纸,"高度：51厘米（相册）  
宽度：55.50厘米（相册）",1877.0,https://www.britishmuseum.org/collection/object/A_1877-0714-0-1016-1039,无图片,19thC
"1877,0714,0.1494",album; painting,册页 | 绘画,册页。职业。茶叶种植。纸本水墨。,纸,高度：42厘米 | 宽度：55厘米,1877.0,https://www.britishmuseum.org/collection/object/A_1877-0714-0-1494,无图片,1800-1831
"1902,0606,0.52.13",album; painting,册页 | 绘画,册页。山水。绢本水墨。,丝绸,高度：32.40厘米 | 宽度：19.50厘米,1902.0,https://www.britishmuseum.org/collection/object/A_1902-0606-0-52-13,https://media.britishmuseum.org/media/Repository/Documents/2014_10/4_15/ad33ab9d_2151_4ce8_a8b3_a3ba00feba6a/mid_00241440_001.jpg,1368-1911
"1902,0606,0.52.16",album; painting,册页 | 绘画,册页。树木习作。纸本水墨。,纸,高度：17.80厘米 | 宽度：38厘米,1902.0,https://www.britishmuseum.org/collection/object/A_1902-0606-0-52-16,https://media.britishmuseum.org/media/Repository/Documents/2014_10/4_15/6eb5ab26_32a6_45e1_8928_a3ba00fecdde/mid_00241446_001.jpg,1746-1816
"1984,0203,0.15.c",album; fan; painting,册页 | 扇面 | 绘画,册页。团扇。绢本设色。松枝。款识。,丝绸,直径：约25厘米,1984.0,https://www.britishmuseum.org/collection/object/A_1984-0203-0-15-c,https://media.britishmuseum.org/media/Repository/Documents/2015_5/6_14/b3d7f678_5d26_4774_b25f_a49000f41755/mid_Add467_c_2008_0721_001_.jpg,1847-1866
"1896,0511,0.15.3",album; painting,册页 | 绘画,彩绘册页。花卉。绢本设色。,丝绸,高度：55.50厘米（册页）| 高度：21.70厘米（画心）| 宽度：40.50厘米（册页）| 宽度：23.40厘米（画心）,1896.0,https://www.britishmuseum.org/collection/object/A_1896-0511-0-15-3,https://media.britishmuseum.org/media/Repository/Documents/2014_10/4_15/ce407450_853a_4fbd_9d5c_a3ba00f7cfbf/mid_00239474_001.jpg,1368-1644
"1902,0606,0.52.1",album; painting,册页 | 绘画,册页。山水。绢本设色。,丝绸,高度：29.10厘米 | 宽度：19.60厘米,1902.0,https://www.britishmuseum.org/collection/object/A_1902-0606-0-52-1,https://media.britishmuseum.org/media/Repository/Documents/2014_10/4_15/ef13ca5c_1564_436c_916d_a3ba00fe84ab/mid_00241420_001.jpg,1609-1671
"1877,0714,0.1359-1370",album; painting,册页 | 绘画,册页。山水。设色纸本。,纸,高度：31.50厘米 | 宽度：41厘米,1877.0,https://www.britishmuseum.org/collection/object/A_1877-0714-0-1359-1370,无图片,1801-1850
"1877,0714,0.354-401",album; painting,册页 | 绘画,册页。山水。纸本设色。,纸,高度：40厘米（册页） | 宽度：54.50厘米（册页）,1877.0,https://www.britishmuseum.org/collection/object/A_1877-0714-0-354-401,无图片,1800-1831
"1946,0413,0.1.16",album; painting,册页 | 绘画,册页。男子相马图。绢本设色。,丝绸,"高度：21.20厘米（据铃木1982年数据）  
宽度：23.50厘米（据铃木1982年数据）",1946.0,https://www.britishmuseum.org/collection/object/A_1946-0413-0-1-16,https://media.britishmuseum.org/media/Repository/Documents/2014_10/4_17/68650f97_6e2f_48d6_b3f3_a3ba0120c587/mid_00245128_001.jpg,1606-1688
"1877,0714,0.1492-1493",album; painting,册页 | 绘画,册页。货郎图。纸本设色。,纸,高度：45.50厘米（1492年） | 高度：29厘米（1493年） | 宽度：35.50厘米（1492年） | 宽度：48.50厘米（1493年）,1877.0,https://www.britishmuseum.org/collection/object/A_1877-0714-0-1492-1493,无图片,1800-1831
"1877,0714,0.756",album; painting,画册 | 绘画,小幅花鸟画册，每幅皆为对开册页。纸本设色。,纸,"高度：9厘米（画作与册页）  
宽度：13.80厘米（册页）  
宽度：17.50厘米（每张对开页）",1877.0,https://www.britishmuseum.org/collection/object/A_1877-0714-0-756,无图片,1800-1831
"1992,0514,0.5-6",album; painting,册页 | 绘画,两幅圆形山水册页，绘山景建筑。每幅均有署名与钤印。纸本设色。,纸,直径：31.70厘米,1992.0,https://www.britishmuseum.org/collection/object/A_1992-0514-0-5-6,无图片,1980-1992
"1881,1210,0.109",album; painting,画册 | 绘画,八幅未装裱画作。绢本设色。,丝绸,高度：9.50英寸 | 宽度：11.50英寸,1881.0,https://www.britishmuseum.org/collection/object/A_1881-1210-0-109,https://media.britishmuseum.org/media/Repository/Documents/2014_10/9_8/c9d325a6_9a9a_46da_8db8_a3bf008cc3c7/mid_00492197_001.jpg,1700-1880
"1902,0606,0.52.7",album; painting,册页 | 绘画,册页。老子骑牛图。设色绢本。,丝绸,高度：22.10厘米 | 宽度：26.40厘米,1902.0,https://www.britishmuseum.org/collection/object/A_1902-0606-0-52-7,https://media.britishmuseum.org/media/Repository/Documents/2014_10/4_15/f7090f47_afd5_4b98_b95a_a3ba00fea750/mid_00241432_001.jpg,16C-17C
"1877,0714,0.1253",album; painting,册页 | 绘画,册页。各省服饰与人物。纸本水墨。,纸,高度：36厘米 | 宽度：48厘米,1877.0,https://www.britishmuseum.org/collection/object/A_1877-0714-0-1253,https://media.britishmuseum.org/media/Repository/Documents/2014_10/4_17/f437f257_9030_4a86_b1dc_a3ba01272f7e/mid_00247198_001.jpg,1800-1831
"1877,0714,0.1450-1461",album; painting,册页 | 绘画,册页。货郎图。纸本设色。,纸,"高度：23.50厘米  
宽度：28厘米",1877.0,https://www.britishmuseum.org/collection/object/A_1877-0714-0-1450-1461,https://media.britishmuseum.org/media/Repository/Documents/2014_10/4_17/1b15dd16_403d_4cd1_a093_a3ba012738b0/mid_00247156_001.jpg,1800-1831
"1877,0714,0.793",album; painting,册 | 画,册页。职业。店铺。纸本水墨。,纸,"高度：42.50厘米（册页）  
宽度：55厘米（册页）",1877.0,https://www.britishmuseum.org/collection/object/A_1877-0714-0-793,https://media.britishmuseum.org/media/Repository/Documents/2016_4/26_9/c51ae160_dc04_4200_a9ec_a5f400a38302/mid_1877_0714_793_ter.jpg,1801-1850
"1877,0714,0.761",album; painting,册页 | 绘画,小折叠册页，每幅画为双页并附题跋。部分页为山水人物（纸本设色），部分为梅花（纯水墨）。,纸,高度：9厘米（画作与册页）| 宽度：13.80厘米（册页）| 宽度：17.50厘米（每幅双页画作）,1877.0,https://www.britishmuseum.org/collection/object/A_1877-0714-0-761,无图片,1800-1877
"1902,0606,0.52.3",album; painting,册页 | 绘画,册页。舟中人物山水图。题款与钤印。设色绢本。,丝绸,高度：23.80厘米 | 宽度：25.30厘米,1902.0,https://www.britishmuseum.org/collection/object/A_1902-0606-0-52-3,https://media.britishmuseum.org/media/Repository/Documents/2014_10/4_15/d02b0aab_7f2e_4ef4_8761_a3ba00fe8bb5/mid_00241423_001.jpg,1502-1575
"1877,0714,0.757",album; painting,册页 | 绘画,小幅折页花卉、昆虫、竹石与人物画册。每幅皆为对开画页并附题跋。纸本水墨设色。,纸,高度：9厘米（画作及册页）| 宽度：13.80厘米（册页）| 宽度：17.50厘米（每幅双页画作）,1877.0,https://www.britishmuseum.org/collection/object/A_1877-0714-0-757,https://media.britishmuseum.org/media/Repository/Documents/2014_10/9_8/febcaf67_21e1_43a2_ae4d_a3bf008d57b6/mid_00492287_001.jpg,1800-1877
"1877,0714,0.1267-1278",album; painting,册页 | 绘画,册页。服饰。设色纸本。,纸,高度：48厘米 | 宽度：36.50厘米,1877.0,https://www.britishmuseum.org/collection/object/A_1877-0714-0-1267-1278,https://media.britishmuseum.org/media/Repository/Documents/2024_9/5_11/49724d5a_542f_4c96_9adb_b1e200c3e7b0/mid_1877_0714_0_1267_1278_1.jpg,1801-1850
"1877,0714,0.1395-1401",album; painting,册页 | 绘画,册页。节庆。设色纸本。,纸,高度：29厘米 | 宽度：30.50厘米,1877.0,https://www.britishmuseum.org/collection/object/A_1877-0714-0-1395-1401,https://media.britishmuseum.org/media/Repository/Documents/2014_9/29_19/fa4d4959_94d2_47d9_b112_a3b50144f65b/mid_00160868_001.jpg,1801-1850
"1877,0714,0.640-654",album; painting,册页 | 绘画,册页。节庆。纸本设色。,纸,"高度：43.50厘米（册页）  
宽度：52厘米（册页）",1877.0,https://www.britishmuseum.org/collection/object/A_1877-0714-0-640-654,https://media.britishmuseum.org/media/Repository/Documents/2014_9/29_19/eb57a348_fc81_4e19_90ab_a3b501450bc8/mid_00160879_001.jpg,1800-1831
"1877,0714,0.1471",album; painting,册页 | 绘画,册页。宗教题材。寺院生活场景。纸本水墨。,纸,"高度：42厘米（相册）  
宽度：54.50厘米（相册）",1877.0,https://www.britishmuseum.org/collection/object/A_1877-0714-0-1471,https://media.britishmuseum.org/media/Repository/Documents/2016_2/11_14/f2995517_87b9_411f_b3a4_a5a900e97385/mid_1877_7_14_1429.jpg,1801-1850
"1877,0714,0.73-92",album; painting,册页 | 绘画,册页。服饰、帝王与半神。纸本设色。,纸,"高度：43厘米（册页）  
宽度：63厘米（册页）",1877.0,https://www.britishmuseum.org/collection/object/A_1877-0714-0-73-92,https://media.britishmuseum.org/media/Repository/Documents/2014_10/4_17/76e71937_017a_4f70_83d4_a3ba0125e6a6/mid_00246863_001.jpg,1800-1831
"1877,0714,0.760",album; painting,册 | 画,小幅折叠画册，绘有花卉、蔬菜、虾与竹。每幅皆为对开页并附题跋。部分纯水墨，余者施彩于纸。,纸,"高度：9厘米（画作与册页）  
宽度：13.80厘米（册页）  
宽度：17.50厘米（每开对折页）",1877.0,https://www.britishmuseum.org/collection/object/A_1877-0714-0-760,https://media.britishmuseum.org/media/Repository/Documents/2014_10/9_12/d3aa03de_8cdc_4770_b06a_a3bf00ce7755/mid_00512360_001.jpg,1800-1877
"1984,0203,0.38.b",album; fan; calligraphy; painting,册页 | 扇面 | 书法 | 绘画,圆形扇面（共三幅之一）装裱成册。行书书法。绢本墨笔。,丝绸,直径：直径：24厘米（约）（约）,1984.0,https://www.britishmuseum.org/collection/object/A_1984-0203-0-38-b,无图片,1644-1911
